MENUID,MENUTITLE,MENUPARENT,MENULEVEL,MENUORDER
1003,"Setup and Maintenance",0,1,4
1007,Budget,0,1,5
1684,Purchasing,0,1,6
1709,"Account Payable",0,1,7
1024,"Account Receivable",0,1,8
1052,"General Ledger",0,1,10
1246,Refund,0,1,11
1701,Cashbook,0,1,12
1651,"Credit Control",0,1,14
1122,Payroll,0,1,15
1547,Asset,0,1,16
1019,"Student Finance",0,1,17
1404,Investment,0,1,18
1133,Declaration/Claim,0,1,20
1132,"Activity Advance",0,1,21
1134,"Travelling Claim",0,1,22
1137,PCB/Zakat,0,1,31
1138,"Others Deduction",0,1,32
1489,"Petty Cash ",0,1,34
1251,TP1,0,1,38
1533,Portal,0,1,40
1229,"Debtor Portal",0,1,45
3401,EIS,0,1,47
1228,"Vendor Portal",0,1,48
3454,"Staff Medical",0,1,49
1543,"Project Monitoring",0,1,52
1177,"Portal Debt Collector Agent (DCA)",0,1,53
1178,"Portal Legal",0,1,54
3,"User Manual",0,1,57
55,"Audit Trail",0,1,59
2616,"Debtor Information",0,1,56
1281,"TP1 (Tax Relief) Listing",1251,2,1
1405,Setup,1404,2,1
1409,"Posting to GL (TB)",1052,2,1
1427,"PCB/Zakat Request",1137,2,1
1432,"Others Deduction Request",1138,2,1
1461,Lookup,1122,2,1
1509,"Student Profile or Ledger",1019,2,1
1526,Setup,1489,2,1
1544,"List Of Project",1543,2,1
1549,Setup,1547,2,1
1664,Setup,1651,2,1
1727,Debtor,1024,2,1
1819,Setup,1684,2,1
1914,"Staff Profile",1533,2,1
2189,"Debtor Profile",1229,2,1
2210,"General Ledger Structure",1003,2,1
3246,"Bank Setup",1701,2,1
3421,Setup,3401,2,1
3455,"Medical Information",3454,2,1
5,"System Transaction",55,2,2
1023,Invoice,1019,2,2
1293,Setup,1007,2,2
1436,Setup,1122,2,2
1490,"List of Petty Cash Application ",1489,2,2
1548,"List of Asset",1547,2,2
2036,"Bank Master",1701,2,2
2065,"Updated Balance",1543,2,2
2211,"List of General Ledger Structure",1003,2,2
2377,Bill,1709,2,2
2676,Profile,1651,2,2
3402,Ringkasan,3401,2,2
3459,Reports,3454,2,2
1040,Invoice,1024,2,3
1041,"Credit Note",1024,2,3
1051,"Staff Profile Information",1122,2,3
1231,"Invoice Generation",1019,2,3
1574,Planning,1007,2,3
1668,"Asset Registration",1547,2,3
1872,"Petty Cash Claim Form",1489,2,3
2055,Payslip,1533,2,3
2097,"Bank Account",1701,2,3
2114,Budget,1543,2,3
2519,"General Ledger Listing",1052,2,3
2608,"List of Profile Update Application ",1229,2,3
2677,Advance,1651,2,3
3225,"Investment Application",1404,2,3
1149,Sponsor,1019,2,4
1250,"Salary Processing",1122,2,4
1497,"Investment Withdrawal",1404,2,4
1541,Initial,1007,2,4
1782,"Credit Note Form",1024,2,4
2056,"Journal Listing",1052,2,4
2141,Loan,1651,2,4
2267,"Debtors Statement",1229,2,4
2346,"Release Payment",1489,2,4
2574,"Asset Verification",1547,2,4
2672,Report,1543,2,4
2778,"Remuneration Statement",1533,2,4
3269,"Money Transfer",1709,2,4
3406,"Prestasi Perbelanjaan",3401,2,4
3484,"Medical Statement",1533,2,4
-3,"Disk Usage",55,2,5
1042,"Debit Note",1024,2,5
1140,"Salary Crediting",1122,2,5
1702,"List Of CashBook (Daily)",1701,2,5
2130,"Profile ",1228,2,5
2312,"Financial Information",1229,2,5
2371,"EC Form",1533,2,5
2761,"List of Released Payment",1489,2,5
3241,"Credit Note",1709,2,5
3311,"Generate Journal for Investment",1404,2,5
3412,"Prestasi Kewangan",3401,2,5
1529,"Credit Note",1019,2,6
2319,"Purchase Requisition",1684,2,6
2471,"List Of Cashbook (Monthly)",1701,2,6
2591,"Asset Cancellation",1547,2,6
2808,"Summary List of Investments",1404,2,6
2947,"Debt Collector Agent",1228,2,6
3410,"Kedudukan Kewangan",3401,2,6
3542,"Debit Note",1709,2,6
1130,Loan,1533,2,7
1152,"Petty Cash",1533,2,7
1448,"List of Investments",1404,2,7
1534,"Petty Cash Recoup Form",1489,2,7
